제목,감독이름,제작국가,개봉일,장르,누적관객수,누적매출액
기방도령,,,2019-07-10,,278008,2263613440
진범,,,2019-07-10,,157393,1343407100
극장판 엉덩이 탐정: 화려한 사건 수첩,,,2019-07-11,,127100,1010318400
미드소마,,,2019-07-11,,69036,636821828
라이온 킹,,,2019-07-17,,4684247,41051484140
사일런스,,,2019-07-17,,43202,376794882
나랏말싸미,,,2019-07-24,,930998,7667924863
레드슈즈,,,2019-07-25,,786502,5972902650
명탐정 코난: 감청의 권,,,2019-07-24,,214485,1704460250
롱 샷,,,2019-07-24,,184741,1626545847
사자,,,2019-07-31,,1602046,12856028565
엑시트,,,2019-07-31,,9407840,79107313402
마이펫의 이중생활 2,,,2019-07-31,,1100521,8406345615
봉오동 전투,,,2019-08-07,,4767092,40446099578
브링 더 소울 : 더 무비,,,2019-08-07,,274064,2368846100
앵그리 버드 2: 독수리 왕국의 침공,,,2019-08-07,,134529,1040376333
김복동,,,2019-08-08,,29397,252440340
분노의 질주: 홉스&쇼,,,2019-08-14,,3649860,32182076313
"안녕, 티라노: 영원히, 함께",,,2019-08-14,,189723,1484246280
암전,,,2019-08-15,,85378,761578175
원더랜드,,,2019-08-14,,73851,570974860
변신,,,2019-08-21,,1797796,15376020385
광대들: 풍문조작단,,,2019-08-21,,632384,5192915408
커런트 워,,,2019-08-22,,194259,1694668900
애프터,,,2019-08-22,,37839,328524780
유열의 음악앨범,,,2019-08-28,,1225554,10069442060
47미터 2,,,2019-08-28,,440356,3598477303
안나,,,2019-08-28,,73250,600970920
그것: 두 번째 이야기,,,2019-09-04,,584467,5054505487
극장판 헬로카봇 : 달나라를 구해줘!,,,2019-09-04,,558571,4334952520
안녕 베일리,,,2019-09-05,,39817,347250600
나쁜 녀석들: 더 무비,,,2019-09-11,,4556691,39445761284
타짜: 원 아이드 잭,,,2019-09-11,,2212819,19554515104
"힘을 내요, 미스터 리",,,2019-09-11,,1166190,9834912876
극장판 반지의 비밀일기,,,2019-09-11,,56299,458358530
애드 아스트라,,,2019-09-19,,508767,4480528780
예스터데이,,,2019-09-18,,292246,2475015400
퍼펙트맨,,,2019-10-02,,1224676,10206414010
벌새,,,2019-08-29,,93366,771853922
장사리 : 잊혀진 영웅들,,,2019-09-25,,1125480,8911721490
양자물리학,,,2019-09-25,,542651,4436532120
원스 어폰 어 타임... 인 할리우드,,,2019-09-25,,270172,2209533530
더 룸,,,2019-09-25,,44682,361460500
조커,,,2019-10-02,,5273111,45646795855
가장 보통의 연애,,,2019-10-02,,2918536,24848114010
소피와 드래곤: 마법책의 비밀,,,2019-10-02,,90885,708382890
몬스터 하우스,,,2019-10-03,,58604,469247200
제미니 맨,,,2019-10-09,,375620,3208898830
잃어버린 세계를 찾아서,,,2019-10-09,,17510,136085120
판소리 복서,,,2019-10-09,,16827,137526400
말레피센트 2,,,2019-10-17,,1432021,12087909350
두번할까요,,,2019-10-17,,169447,1409839500
너를 만난 여름,,,2019-10-16,,19205,165479400
버티고,,,2019-10-16,,11161,96891080
날씨의 아이,,,2019-10-30,,850513,7127950272
82년생 김지영,,,2019-10-23,,3665813,30203363050
람보 : 라스트 워,,,2019-10-23,,92238,760962460
빅트립: 아기팬더 배달 대모험,,,2019-10-23,,32728,258810540
더 킹: 헨리 5세,,,2019-10-23,,10727,85402360
터미네이터2 3D,,,1991-07-06,,11743,112498060
터미네이터: 다크 페이트,,,2019-10-30,,2401975,20096392330
빅 위시,,,2019-10-30,,28884,225708140
블랙머니,,,2019-11-13,,2470153,20802196070
빅 2: 황금열쇠 대소동,,,2019-10-30,,11152,86174480
신의 한 수: 귀수편,,,2019-11-07,,2147825,18397744810
아담스 패밀리,,,2019-11-07,,319305,2558382160
닥터 슬립,,,2019-11-07,,46343,410001240
엔젤 해즈 폴른,,,2019-11-13,,174999,1434376122
좀비랜드: 더블 탭,,,2019-11-13,,134012,1155777100
윤희에게,,,2019-11-14,,86344,686559070
겨울왕국 2,,,2019-11-21,,13721190,114593258590
얼굴없는 보스,,,2019-11-21,,16355,138656840
나를 찾아줘,,,2019-11-27,,622170,4947912840
크롤,,,2019-11-27,,138355,1112395880
러브 앳,,,2019-11-27,,83522,664297500
