title,director,country,release_date,genres,누적관객수,누적매출액,평점
용감한 시민,Park Jin-pyo,South Korea,2023-10-25,Action,261933.0,2402851487.0,7
외계+인 2부,Choi Dong-hoon,South Korea,2024-01-10,Unknown,1406244.0,13564277654.0,8
약속,Unknown_Random,South Korea,2023-11-01,Documentary,,,7
신체모음.zip,"Unknown_Random, Unknown_Random, Unknown_Random, Unknown_Random, Unknown_Random, Unknown_Random",South Korea,2023-08-30,Horror,51250.0,473262700.0,7
서울의 봄,Kim Sung-su,South Korea,2023-11-22,Drama,13114138.0,127803459213.0,7
사채소년,Unknown_Random,South Korea,2023-11-22,Action,,,5
뽀로로 극장판 슈퍼스타 대모험,"Unknown_Random, Unknown_Random",South Korea,2023-12-13,Animation,357851.0,3284139142.0,7
브레드이발소: 셀럽 인 베이커리타운,Unknown_Random,South Korea,2024-03-01,Animation,185323.0,1586554980.0,4
범죄도시4,Unknown_Random,South Korea,2024-04-24,Action,11492094.0,109952243841.0,8
믿을 수 있는 사람,Unknown_Random,South Korea,2023-10-18,Drama,,,7
물귀신,Unknown_Random,South Korea,2023-11-09,Horror,,,9
모르는 이야기,Unknown_Random,South Korea,2024-04-24,Fantasy,,,3
뒤주,Kim Jee-woon,South Korea,2024-03-28,Horror,,,7
독친,Unknown_Random,South Korea,2023-11-01,Horror,,,7
도티와 영원의 탑,"Unknown_Random, Unknown_Random, Unknown_Random",South Korea,2023-12-27,Animation,41696.0,388161976.0,7
더 문,Kim Yong-hwa,South Korea,2023-08-02,Science Fiction,483231.0,4887972709.0,7
당신이 잠든 사이,Unknown_Random,South Korea,2024-03-20,Mystery,,,3
달짝지근해: 7510,Lee Han,South Korea,2023-08-15,Comedy,1371744.0,13304086012.0,7
다시 김대중-함께 합시다,Unknown_Random,South Korea,2024-03-28,Documentary,,,10
늦더위,Unknown_Random,South Korea,2024-05-22,Drama,,,7
느티나무 아래,Unknown_Random,South Korea,2023-11-15,Documentary,,,10
노량: 죽음의 바다,Kim Han-min,South Korea,2023-12-20,Historical Drama,4550731.0,44804244586.0,7
나의 피투성이 연인,Unknown_Random,South Korea,2023-11-15,Drama,,,10
길위에 김대중,Unknown_Random,South Korea,2024-01-10,Documentary,110919.0,1068022451.0,9
극장판 우당탕탕 은하안전단: 진정한 용기!,Unknown_Random,South Korea,2023-11-30,Animation,22117.0,166812610.0,3
그녀의 취미생활,Unknown_Random,South Korea,2023-08-30,Mystery,,,2
교토에서 온 편지,Unknown_Random,South Korea,2023-12-06,Drama,,,3
검은 소년,Unknown_Random,South Korea,2024-02-07,Drama,,,3
거미집,Kim Jee-woon,South Korea,2023-09-27,Comedy,308803.0,2963063021.0,7
DMZ 동물 특공대,Unknown_Random,South Korea,2024-02-14,Animation,,,6
1980,Unknown_Random,South Korea,2024-03-27,Drama,32237.0,291901745.0,10
1947 보스톤,Unknown_Random,South Korea,2023-09-27,Drama,1010900.0,9350162338.0,10
30일,Nam Dae-jung,South Korea,2023-10-03,Comedy,2161133.0,21220095902.0,7
창가의 토토,Unknown_Random,Japan,2024-05-29,Animation,,,6
정욕,Unknown_Random,Japan,2024-05-29,Drama,,,4
오늘부터 댄싱퀸,Unknown_Random,Norway,2024-05-29,Drama,,,5
아침이 오면 공허해진다,Unknown_Random,Japan,2024-05-29,Drama,,,4
분노의 강,Unknown_Random,South Korea,2024-05-29,Drama,,,8
난 엄청 창의적인 휴머니스트 뱀파이어가 될 거야,Unknown_Random,Canada,2024-05-29,Comedy,,,9
결속밴드 라이브 -항성-,Unknown_Random,Japan,2024-05-29,Concert,10112.0,111595600.0,8
세틀러스,Unknown_Random,Unknown_Random,2024-05-15,Science Fiction,,,5
이프: 상상의 친구,Unknown_Random,United States,2024-05-15,Comedy,99180.0,893665727.0,2
별처럼 빛나는 너에게 더무비-일섬일섬량성성,"Unknown_Random, Unknown_Random",China,2024-05-22,Fantasy,,,7
비행사의 아내,Unknown_Random,France,2024-05-15,Unknown,,,5
도뷔시,Unknown_Random,Ukraine,2024-05-23,Action,,,9
그레이트 칸,Unknown_Random,Kazakhstan,2024-05-23,Action,,,10
당신의 사월,Unknown_Random,South Korea,2021-04-01,Documentary,,,7
퓨리오사: 매드맥스 사가,Unknown_Random,United States,2024-05-22,Action,1598438.0,16420271028.0,6
스텔라,Unknown_Random,Germany,2024-05-22,Drama,,,7
애비게일,"Unknown_Random, Unknown_Random",United States,2024-05-15,Horror,,,7
마지못해 올라탄 형수님,Unknown_Random,South Korea,2024-04-25,Drama,,,8
나의 올드 오크,Unknown_Random,Ireland,2024-01-17,Drama,,,10
베어헌터,Unknown_Random,Russia,2024-03-28,Unknown_Random,,,10
납치: 사라진 메구미,Unknown_Random,Japan,2023-09-23,Drama,,,10
더 초즌: 선택받은 자,Unknown_Random,United States,2024-05-18,Drama,,,3
타이거스 네스트: 호랑이의 보디가드,Unknown_Random,Italy,2024-05-16,Unknown_Random,,,10
8일 만에 죽은 괴수의 12일 이야기,Unknown_Random,Japan,2024-05-16,Drama,,,6
가필드 더 무비,Unknown_Random,United States,2024-05-15,Animation,330676.0,2933737194.0,9
극장판 실바니안 패밀리: 프레야의 선물,Unknown_Random,Japan,2024-05-01,Animation,13753.0,107404850.0,3
"낸 골딘, 모든 아름다움과 유혈사태",Unknown_Random,United States,2024-05-15,Documentary,,,4
악마와의 토크쇼,Unknown_Random,Australia,2024-05-08,Horror,89244.0,863349600.0,9
미지수,Unknown_Random,South Korea,2024-05-08,Drama,,,5
스턴트맨,Unknown_Random,United States,2024-05-01,Action,203085.0,2076288744.0,4
이어지는 땅,Unknown_Random,South Korea,2024-01-10,Drama,,,9
할리우드 살인사건,Unknown_Random,United Kingdom,2024-05-08,Action,,,8
혹성탈출: 새로운 시대,Unknown_Random,United States,2024-05-08,Action,898588.0,9093027958.0,3
"포켓몬스터: 성도지방 이야기, 최종장",Yuyama Kunihiko,Japan,2024-05-01,Animation,150856.0,1329479845.0,7
옆집 불량 주부,Unknown_Random,South Korea,2024-05-02,Drama,,,3
"다시, 아내를 바꿔주세요",Unknown_Random,South Korea,2024-05-02,Drama,,,3
힙노시스: LP 커버의 전설,Unknown_Random,United Kingdom,2024-05-01,Documentary,,,9
꼬마참새 리차드: 신비한 보석 탐험대,Unknown_Random,"Germany, Belgium, Norway",2024-05-01,Animation,17798.0,146199300.0,10
어쌔신: 드론 전쟁,Unknown_Random,United States,2024-04-29,Science Fiction,,,7
바튼 아카데미,Unknown_Random,United States,2024-02-21,Comedy,24393.0,231820474.0,3
가여운 것들,Unknown_Random,United States,2024-03-06,Drama,146666.0,1465779256.0,7
마더스,Unknown_Random,United States,2024-04-03,Thriller,,,2
몬스터 프렌즈,Unknown_Random,Spain,2024-04-25,Animation,7403.0,62209195.0,8
북스마트,Unknown_Random,United States,2021-01-27,Comedy,9435.0,58561900.0,9
챌린저스,Luca Guadagnino,United States,2024-04-24,Drama,64634.0,631895699.0,8
여행자의 필요,Hong Sang-soo,South Korea,2024-04-24,Drama,,,8
한달에 한번 진짜 마법에 걸리는 여자,Unknown_Random,South Korea,2024-04-12,Comedy,,,8
오늘 출가합니다,Kim Seong-hwan,South Korea,2023-04-05,Drama,,,7
바람의 세월,"Unknown_Random, Unknown_Random",South Korea,2024-04-03,Documentary,,,9
랑종,Unknown_Random,"South Korea, Thailand",2021-07-14,Horror,827673.0,8586730770.0,4
갓랜드,Unknown_Random,"Denmark, Iceland, France, Sweden",2024-02-28,Drama,,,7
올 더 네임즈 오브 갓,Unknown_Random,Hungary,2024-04-17,Action,,,4
아서,Unknown_Random,United States,2024-04-17,Unknown_Random,,,3
브레이브 온 파이어,"Unknown_Random, Unknown_Random",United States,2024-04-17,Action,,,7
돌들이 말할 때까지,Unknown_Random,South Korea,2024-04-17,Documentary,,,7
극장판 울려라! 유포니엄: 앙상블 콘테스트,Ishihara Tatsuy,Japan,2024-04-17,Animation,,,7
고스트버스터즈: 오싹한 뉴욕,Unknown_Random,United States,2024-04-17,Action,49520.0,455139403.0,5
8인의 용의자들,Oh In-cheon,South Korea,2024-04-17,Drama,,,7
골드핑거,Unknown_Random,Hong Kong,2024-04-10,Crime,27872.0,248314956.0,2
씬,Unknown_Random,South Korea,2024-04-03,Horror,,,4
도그데이즈,Unknown_Random,South Korea,2024-02-07,Drama,364811.0,3548049613.0,6
에스파: 월드 투어 인 시네마,"Kim Ha-min, Oh Yoon-dong",South Korea,2024-04-10,Concert,,,7
쿵푸팬더4,"Unknown_Random, Unknown_Random",United States,2024-04-10,Animation,1766417.0,16493657847.0,7
어게인 1997,Unknown_Random,South Korea,2024-04-10,Fantasy,,,9
슈가│어거스트 디 투어 ‘디-데이’ 더 무비,Park Joon-soo,South Korea,2024-04-10,Concert,20624.0,595317500.0,7
비키퍼,Unknown_Random,United States,2024-04-03,Action,97197.0,908032505.0,9
오멘: 저주의 시작,Unknown_Random,United States,2024-04-03,Horror,174052.0,1789740877.0,7
기적의 시작,Kwon Soon-do,South Korea,2024-02-22,Documentary,,,7
바람개비,Unknown_Random,South Korea,2023-05-10,Action,,,3
극장판 여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다...,Unknown_Random,Japan,2024-04-04,Animation,,,3
오마주,Shin Su-won,South Korea,2022-05-26,Drama,6774.0,55828400.0,7
우당탕탕 운동회,Lee Kwang-beom,South Korea,2024-04-03,Unknown,,,7
키메라,Unknown_Random,Italy,2024-04-03,Drama,,,8
카니펙스: 죽음의 숲,Unknown_Random,Australia,2024-04-03,Horror,,,10
잔 뒤 바리,Unknown_Random,France,2024-04-03,Drama,,,4
유미의 세포들 더 무비,Unknown_Random,South Korea,2024-04-03,Animation,49392.0,378685320.0,9
신 가면라이더,Anno Hideaki,Japan,2024-04-03,Action,,,7
라스트 썸머,Unknown_Random,France,2024-04-03,Drama,,,7
그날의 딸들,Unknown_Random,South Korea,2024-04-03,Documentary,,,4
시민덕희,Unknown_Random,South Korea,2024-01-24,Drama,1695197.0,16025654774.0,2
3일의 휴가,Unknown_Random,South Korea,2023-12-06,Fantasy,487497.0,4597259062.0,8
악은 존재하지 않는다,Hamaguchi Ryusuke,Japan,2024-03-27,Drama,19308.0,196186256.0,7
언더 유어 베드,Unknown_Random,Japan,2024-04-01,Thriller,,,9
패스트 라이브즈,Unknown_Random,United States,2024-03-06,Drama,107530.0,992260558.0,4
두얼굴의 남편,Unknown_Random,South Korea,2024-03-20,Drama,,,4
부르달락: 흡혈귀,Unknown_Random,France,2024-03-28,Unknown,,,4
드림쏭3,Unknown_Random,United States,2024-03-28,Animation,,,2
검치호,Unknown_Random,South Korea,2024-03-28,Action,,,8
탐정 말로,Unknown_Random,"Ireland, United States",2024-03-21,Crime,13041.0,98410200.0,7
완벽한 환승섹스,Unknown_Random,South Korea,2024-03-11,Drama,,,10
바람난 아내들,Unknown_Random,South Korea,2024-03-11,Drama,,,10
스텝 업: 브레이킹,"Unknown_Random, Unknown_Random",United Kingdom,2024-03-23,Drama,,,7
극장판 스파이 패밀리 코드 : 화이트,Unknown_Random,Japan,2024-03-20,Animation,261502.0,2611007725.0,3
잠행,Unknown_Random,Hong Kong,2024-03-27,Action,,,4
세월: 라이프 고즈 온,Unknown_Random,South Korea,2024-03-27,Documentary,,,9
래빗스쿨 2: 부활절 대소동,Unknown_Random,Germany,2024-03-27,Animation,,,5
다운폴,Unknown_Random,Germany,2024-03-27,War,,,10
고질라 X 콩: 뉴 엠파이어,Unknown_Random,United States,2024-03-27,Action,506726.0,5076739231.0,7
르네에게,Unknown_Random,South Korea,2023-12-27,Drama,,,5
5시부터 7시까지의 주희,Unknown_Random,South Korea,2023-11-08,Drama,,,9
비밀의 언덕,Unknown_Random,South Korea,2023-07-12,Unknown,,,6
이승윤 콘서트 도킹 : 리프트오프,Unknown_Random,South Korea,2024-03-22,Concert,,,10
리볼버 릴리,Unknown_Random,Japan,2024-03-21,Action,,,8
그날이 와버렸네,Kim Choong-gil,South Korea,2024-03-21,Drama,,,7
메이 디셈버,Unknown_Random,United States,2024-03-13,Drama,23931.0,224006569.0,2
시간을 꿈꾸는 소녀,Unknown_Random,South Korea,2023-01-11,Documentary,,,4
머릿속을,Jo Sung-kyu,South Korea,2024-01-24,Drama,,,7
괴담만찬,"Unknown_Random, Unknown_Random, Kim Yong-gyun, Unknown_Random, Unknown_Random",South Korea,2023-10-18,Horror,,,7
조용한 이주,Unknown_Random,Denmark,2024-03-20,Drama,,,4
목스박,Unknown_Random,South Korea,2024-03-20,Action,,,7
나이트 스윔,Unknown_Random,United States,2024-03-20,Horror,14090.0,133484800.0,8
"주사위놀이, 마불 세계여행",Lee Kwang-beom,South Korea,2024-01-03,Unknown_Random,,,7
미스터 보스,Unknown_Random,South Korea,2020-12-30,Drama,,,4
로봇 드림,Unknown_Random,"Spain, France",2024-03-13,Animation,,,2
원 앤 온리,Unknown_Random,China,2024-03-13,Drama,,,9
랜드 오브 배드,Unknown_Random,United States,2024-03-13,Action,40965.0,350177666.0,4
공백,Unknown_Random,Japan,2024-03-16,Drama,,,8
인어공주: 마법물약의 비밀,Unknown_Random,United States,2024-03-14,Animation,,,4
밥 말리: 원 러브,Unknown_Random,United States,2024-03-13,Drama,27283.0,250117549.0,3
마담 웹,Unknown_Random,United States,2024-03-13,Action,,,9
레이징 그레이스,Unknown_Random,United Kingdom,2024-03-13,Thriller,,,3
들리나요?,"Unknown_Random, Unknown_Random",South Korea,2020-06-10,Documentary,,,7
데드맨,Unknown_Random,South Korea,2024-02-07,Crime,231476.0,2211484835.0,3
사운드 오브 프리덤,Unknown_Random,United States,2024-02-21,Crime,43217.0,479900700.0,5
피어썸,Unknown_Random,South Korea,2021-10-07,Horror,,,3
어디로 가고 싶으신가요,Unknown_Random,South Korea,2023-07-05,Drama,,,6
생츄어리 2 : 쿼카가 너무해,Unknown_Random,Australia,2024-03-07,Animation,,,10
부활 그 소망,Unknown_Random,South Korea,2024-03-07,Documentary,,,6
엄마 바람피게하기,Unknown_Random,South Korea,2020-01-16,Comedy,,,7
신황제를 위하여,Lee Su-seong,South Korea,2022-12-19,Action,,,9
대가리3-일진후배들,Lee Su-seong,South Korea,2022-06-24,Action,,,7
대가리2-학교무림,Lee Su-seong,South Korea,2022-06-24,Action,,,7
대가리,Lee Su-seong,South Korea,2022-06-24,Action,,,7
하로동선,Unknown_Random,South Korea,2022-03-30,Drama,,,5
아부쟁이,Hwang Seung-jae,South Korea,2022-06-16,Action,,,7
만해 한용운 님의침묵,Unknown_Random,South Korea,2023-06-29,Drama,,,3
나비효과,"Unknown_Random, Unknown_Random",South Korea,2023-06-22,Comedy,,,7
울지마 엄마,Unknown_Random,South Korea,2023-05-17,Documentary,,,9
부적: 남의 운을 빼앗는 자,Unknown_Random,South Korea,2022-09-07,Action,,,6
우수,Unknown_Random,South Korea,2022-11-24,Drama,,,7
연악: 나의 운명,Unknown_Random,South Korea,2023-08-10,Historical Drama,,,4
극장판 츠루네: 시작의 한 발,Unknown_Random,Japan,2024-02-21,Animation,,,7
벙커 게임,Unknown_Random,Italy,2024-03-06,Horror,,,3
대결! 애니메이션,Unknown_Random,Japan,2024-03-06,Drama,,,7
오키쿠와 세계,Unknown_Random,Japan,2024-02-21,Drama,,,4
콜로니얼,Unknown_Random,United States,2024-02-29,Science Fiction,,,8
조폭인 내가 고등학생이 되었습니다,Unknown_Random,South Korea,2024-02-22,Fantasy,,,7
레이니 데이 인 뉴욕,Unknown_Random,United States,2020-05-06,Comedy,84144.0,747813040.0,4
킹 VS. 머신킹,Unknown_Random,United States,2024-02-15,Action,,,8
아이엠 티라노,Unknown_Random,China,2024-03-01,Animation,45256.0,380985500.0,4
극장판 후르츠 바스켓: 프렐류드,Unknown_Random,Japan,2024-03-01,Animation,,,5
얌전한 와이프 : 색녀의 복수,Unknown_Random,South Korea,2024-02-29,Drama,,,8
우주전함 야마토,Unknown_Random,Japan,2024-02-23,Science Fiction,,,9
2대1 여친 팔아먹기 2,Unknown_Random,South Korea,2024-02-17,Unknown_Random,,,7
여기는 아미코,Unknown_Random,Japan,2024-02-28,Family,,,9
듄: 파트2,Unknown_Random,United States,2024-02-28,Action,1993107.0,23350610937.0,8
출장도우미와 2대1,Unknown_Random,South Korea,2024-01-21,Unknown_Random,,,8
잘 빠는 여자,Unknown_Random,South Korea,2024-01-16,Unknown_Random,,,10
맛 ： 2대1,Unknown_Random,South Korea,2024-01-16,Unknown_Random,,,5
엄마 친구들 4,Unknown_Random,South Korea,2024-01-06,Unknown,,,6
관능 육체 부녀회장의 동정교육,Unknown_Random,South Korea,2024-01-03,Unknown_Random,,,5
"자우림, 더 원더랜드","Unknown_Random, Unknown_Random",South Korea,2023-06-07,Documentary,,,7
아기상어 극장판: 사이렌 스톤의 비밀,Unknown_Random,United States,2024-02-07,Animation,95668.0,847021633.0,8
유어 럭키 데이,Unknown_Random,United States,2024-02-22,Action,,,6
콘크리트 유토피아,Unknown_Random,South Korea,2023-08-09,Drama,3840463.0,37342791632.0,3
월레스와 그로밋 더 클래식 컬렉션,Unknown_Random,United Kingdom,2024-02-21,Animation,,,9
서바이벌 택틱스,Unknown_Random,South Korea,2024-02-21,Drama,,,9
벗어날 탈 脫,Unknown_Random,South Korea,2024-02-21,Mystery,,,5
K스쿨,Unknown_Random,South Korea,2024-02-21,Drama,,,9
친구부부 맞교환 후기,Unknown_Random,South Korea,2024-01-24,Drama,,,7
출장 간호사의 특별한서비스,Unknown_Random,South Korea,2024-01-03,Unknown,,,7
사랑의 불시착: 라이브 인 서울,Park Jae-seok,South Korea,2023-11-30,Drama,,,7
스노우 퍼핀즈,Unknown_Random,Spain,2024-02-15,Animation,,,4
"타르콥스키, 기도하는 영혼",Unknown_Random,Italy,2024-01-31,Documentary,,,5
정글번치: 월드투어,Unknown_Random,France,2024-01-31,Animation,20714.0,164238900.0,6
도그맨,Unknown_Random,France,2024-01-24,Drama,35065.0,330540933.0,10
극장판 오드 택시 인 더 우즈,Unknown_Random,Japan,2024-02-16,Animation,,,4
두다다쿵: 후후섬의 비밀,"Unknown_Random, Unknown_Random",South Korea,2023-02-15,Animation,79007.0,719074157.0,6
에스파: 마이 퍼스트 페이지,"Unknown_Random, Unknown_Random",South Korea,2024-02-14,Concert,,,7
대니초 : 코리안 드림,Unknown_Random,South Korea,2024-02-14,Concert,,,9
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",Sotozaki Haruo,Japan,2024-02-14,Animation,479674.0,5442660700.0,7
듣보인간의 생존신고,"Unknown_Random, Unknown_Random",South Korea,2023-09-06,Documentary,,,8
통영에서의 하루,Unknown_Random,South Korea,2022-11-24,Drama,,,7
CCTV,Unknown_Random,South Korea,2021-07-07,Horror,,,4
살인청부업자,Unknown_Random,South Korea,2022-11-03,Crime,,,5
범털 2: 쩐의 전쟁,Unknown_Random,South Korea,2021-05-13,Crime,,,4
범털,Unknown_Random,South Korea,2020-05-14,Drama,,,8
돼지의 최후,Unknown_Random,South Korea,2023-08-15,Drama,,,8
특수요원S,Unknown_Random,India,2024-02-06,Action,,,7
겨울 이야기,Shin Sang-ok,South Korea,2023-01-18,Drama,,,7
드림,Lee Byeong-heon,South Korea,2023-04-26,Comedy,1107622.0,10670875941.0,7
손,Unknown_Random,South Korea,2023-06-21,Horror,,,4
귀여운 남자,Unknown_Random,South Korea,2021-01-14,Comedy,,,4
플랜 75,Unknown_Random,Japan,2024-02-07,Drama,,,7
영화 스미코구라시 - 푸른 달밤의 마법의 아이,Unknown_Random,Japan,2024-02-07,Animation,,,5
아네모네,Unknown_Random,South Korea,2024-02-07,Comedy,,,3
아가일,Unknown_Random,United States,2024-02-07,Action,135539.0,1395932780.0,2
썬 오브 람세스,Unknown_Random,France,2024-02-07,Thriller,,,10
블랙 로터스,Unknown_Random,United States,2024-02-07,Action,,,10
웡카,Unknown_Random,United States,2024-01-31,Fantasy,3526209.0,33906635610.0,8
추락의 해부,Unknown_Random,France,2024-01-31,Drama,71268.0,705476954.0,4
신세계로부터,Unknown_Random,South Korea,2023-12-20,Drama,,,6
솔라 플라워,Unknown_Random,South Korea,2023-04-06,Drama,,,7
청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,Unknown_Random,Japan,2024-02-01,Animation,,,5
두 세계 사이에서,Unknown_Random,France,2024-01-31,Drama,,,4
익스트림 페스티벌,Unknown_Random,South Korea,2023-06-07,Comedy,,,10
다음 소희,Unknown_Random,South Korea,2023-02-08,Drama,66235.0,639178551.0,7
아톰 새로운 시작,Unknown_Random,United States,2024-01-31,Animation,,,4
아녜스 V에 의한 제인 B,Unknown_Random,France,2024-01-31,Fantasy,,,2
봉신연의: 조가풍운,Unknown_Random,China,2024-01-24,War,,,6
스즈메의 문단속: 다녀왔어,Unknown_Random,Japan,2024-01-10,Animation,,,4
립세의 사계,"Unknown_Random, Unknown_Random",Poland,2024-01-10,Animation,,,7
클럽 제로,Unknown_Random,"Austria, United Kingdom",2024-01-24,Mystery,,,7
돈 룩 디퍼,Unknown_Random,United States,2023-09-07,Science Fiction,,,10
사랑엔 정의가 없다,Unknown_Random,South Korea,2023-12-11,Drama,,,10
그대들은 어떻게 살 것인가,Unknown_Random,Japan,2023-10-25,Animation,1991071.0,19391314658.0,4
일 부코,Unknown_Random,"Italy, Germany, France",2024-01-24,Drama,,,3
영화 스미코구라시 - 튀어나오는 그림책과 비밀의 아이,Unknown_Random,Japan,2024-01-24,Animation,,,2
레트리뷰션,Unknown_Random,United States,2024-01-24,Action,,,6
청춘 돼지는 외출하는 여동생의 꿈을 꾸지 않는다,Unknown_Random,Japan,2023-08-31,Animation,,,5
덤 머니,Unknown_Random,United States,2024-01-17,Comedy,24992.0,233432545.0,3
너와 나,Unknown_Random,South Korea,2023-10-25,Drama,,,8
남사친과 유부녀의 정사-무삭제,Unknown_Random,South Korea,2024-01-09,Unknown_Random,,,7
파라다이스 시티,Unknown_Random,Canada,2024-01-18,Action,,,10
엔드 오브 에반게리온,"Anno Hideaki, Tsurumaki Kazuya",Japan,2024-01-17,Animation,,,7
무티: 주술살인,Unknown_Random,United States,2024-01-17,Crime,,,6
라이즈,Unknown_Random,"France, Belgium",2024-01-17,Drama,,,2
걸즈 앤 판처 최종장 제4화,Mizushima Tsutomu,Japan,2024-01-17,Animation,,,7
상견니,Unknown_Random,Taiwan,2023-01-25,Drama,328035.0,3256854530.0,6
류이치 사카모토: 오퍼스,Unknown_Random,Japan,2023-12-27,Concert,31195.0,286201031.0,5
사랑하는 기생충,Unknown_Random,Japan,2024-01-16,Drama,,,2
미끼,Unknown_Random,South Korea,2023-12-14,Drama,,,10
아마존: 더 비기닝,Unknown_Random,United States,2024-01-11,Drama,,,10
히즈,Unknown_Random,Japan,2024-01-10,Drama,,,7
지오디 마스터피스 더 무비,Son Seok,South Korea,2024-01-10,Concert,,,7
인투 더 월드,Unknown_Random,United States,2024-01-10,Animation,332104.0,3026494116.0,6
메이킹 다큐멘터리 `스즈메의 문단속`을 따라가다,Unknown_Random,Japan,2024-01-10,Documentary,,,7
노 베어스,Unknown_Random,Iran,2024-01-10,Drama,,,8
위시,"Unknown_Random, Unknown_Random",United States,2024-01-03,Animation,1385854.0,13221556880.0,7
클레오의 세계,Unknown_Random,France,2024-01-03,Drama,,,2
간신의 피,Unknown_Random,South Korea,2024-01-03,Action,,,3
사위 사랑은 장모 4,Unknown_Random,South Korea,2023-12-16,Unknown_Random,,,4
여배우들 : 바꿔할래?,Unknown_Random,South Korea,2023-12-12,Unknown_Random,,,7
라방,Unknown_Random,South Korea,2023-06-28,Thriller,,,3
"그리고, 살아간다",Unknown_Random,Japan,2024-01-01,Drama,,,6
자매의 스와핑,Unknown_Random,South Korea,2023-12-29,Unknown_Random,,,10
참을 수 없는 탐욕,Unknown_Random,Japan,2023-12-28,Unknown_Random,,,9
바지 내린 욕정녀,Unknown_Random,Japan,2023-12-28,Unknown_Random,,,10
몸으로 받은 상사,Unknown_Random,Japan,2023-12-28,Unknown_Random,,,6
우리 돈 벌레,Unknown_Random,South Korea,2023-12-28,Comedy,,,5
쉽게 넣는 그녀 무삭제판,Unknown_Random,Japan,2023-12-22,Unknown_Random,,,2
가랑이 채운 처형 무삭제판,Unknown_Random,Japan,2023-12-22,Unknown_Random,,,5
르네상스 필름 바이 비욘세,Unknown_Random,United States,2023-12-21,Concert,,,9
나 혼자만 레벨업 : 프리뷰,Unknown_Random,Japan,2023-12-13,Animation,,,7
착한 형수 6,Unknown_Random,South Korea,2023-12-09,Unknown_Random,,,6
크리스마스 캐럴,Kim Sung-su,South Korea,2022-12-07,Drama,,,7
"2021 스웨그 에이지 : 외쳐, 조선!","Unknown_Random, Unknown_Random",South Korea,2021-05-13,Musical,,,7
어쩌면 우린 헤어졌는지 모른다,Unknown_Random,South Korea,2023-02-08,Drama,,,10
캐리와 슈퍼콜라,"Unknown_Random, Unknown_Random",South Korea,2023-01-18,Animation,87211.0,824147830.0,7
소년들,Unknown_Random,South Korea,2023-11-01,Drama,452312.0,4303755719.0,6
티처스 라운지,Unknown_Random,Germany,2023-12-27,Drama,,,4
"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",Unknown_Random,United Kingdom,2023-12-27,Animation,60669.0,495304260.0,7
2만 종의 벌,Unknown_Random,Spain,2023-12-27,Drama,,,10
빅슬립,Unknown_Random,South Korea,2023-11-22,Drama,,,9
여대생 하숙집,Unknown_Random,South Korea,2023-12-02,Unknown_Random,,,7
비닐하우스,Unknown_Random,South Korea,2023-07-26,Crime,,,10
두 사람을 위한 식탁,Unknown_Random,South Korea,2023-10-25,Documentary,,,7
물비늘,Unknown_Random,South Korea,2023-12-06,Drama,,,10
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,Unknown_Random,Japan,2023-12-22,Animation,907283.0,8779815400.0,9
디셈버,Unknown_Random,Japan,2023-12-16,Drama,,,6
리빙: 어떤 인생,Unknown_Random,United Kingdom,2023-12-13,Drama,,,9
웨스턴 프론트: 서부전선,Unknown_Random,Canada,2023-12-21,War,,,7
신 에반게리온 극장판,Anno Hideaki,Japan,2022-10-05,Animation,,,7
에반게리온 신극장판: Q,"Anno Hideaki, Tsurumaki Kazuya, Unknown_Random, Unknown_Random",Japan,2022-10-14,Animation,,,7
에반게리온 신극장판: 서,"Anno Hideaki, Tsurumaki Kazuya, Unknown_Random",Japan,2022-10-14,Animation,,,7
에반게리온 신극장판: 파,"Anno Hideaki, Tsurumaki Kazuya, Unknown_Random",Japan,2022-10-14,Animation,,,7
힐마 아프 클린트 - 미래를 위한 그림,Unknown_Random,Germany,2023-12-20,Documentary,,,7
트롤: 밴드 투게더,Unknown_Random,United States,2023-12-20,Animation,396373.0,3663304436.0,3
아쿠아맨과 로스트 킹덤,Unknown_Random,United States,2023-12-20,Action,868684.0,8898401492.0,3
세계를 뒤흔든 43일,Unknown_Random,South Korea,2023-11-16,Documentary,,,9
제시는 그때 스무살이었다,Unknown_Random,South Korea,2023-12-14,Drama,,,7
매트,Unknown_Random,South Korea,2023-11-30,Mystery,,,7
매드 하이디,"Unknown_Random, Unknown_Random",Switzerland,2023-12-14,Action,,,7
라스트 서바이버,Unknown_Random,United States,2023-12-14,Science Fiction,,,2
조이랜드,Unknown_Random,Unknown,2023-12-13,Drama,,,2
인디펜던스 나이트,Unknown_Random,United States,2023-12-13,Crime,,,2
엘리자벳과 나,Unknown_Random,"Germany, Switzerland, Austria",2023-12-13,Drama,,,7
쏘우 X,Unknown_Random,United States,2023-12-13,Horror,50316.0,524302177.0,2
무빙 포 워드,Unknown_Random,South Korea,2023-12-13,Comedy,,,8
노 엑시트,Unknown_Random,"United States, France",2023-12-13,Horror,,,8
찬란한 나의 복수,Lim Sung-woon,South Korea,2023-03-29,Drama,,,7
